7.184641808271408081e-02,8.708864450454711914e-01,3.434525430202484131e-02,1.891580037772655487e-02,2.432728884741663933e-03,1.573286717757582664e-03
1.953567378222942352e-02,9.411503672599792480e-01,2.296724356710910797e-02,1.383581385016441345e-02,1.790229580365121365e-03,7.206648006103932858e-04
3.392644925042986870e-03,9.852302670478820801e-01,9.408083744347095490e-03,1.208083354867994785e-03,6.770377513021230698e-04,8.386184344999492168e-05
2.961753401905298233e-03,9.888460040092468262e-01,6.638746708631515503e-03,5.500246188603341579e-04,9.344026329927146435e-04,6.910251249792054296e-05
3.149968804791569710e-03,9.888737201690673828e-01,6.354670040309429169e-03,3.953369450755417347e-04,1.161360996775329113e-03,6.486514757853001356e-05
3.007137449458241463e-03,9.884979128837585449e-01,7.053512614220380783e-03,3.020096046384423971e-04,1.088415738195180893e-03,5.085687007522210479e-05
5.019730888307094574e-03,9.834542274475097656e-01,8.089831098914146423e-03,6.098022568039596081e-04,2.706760540604591370e-03,1.197169985971413553e-04
3.660081187263131142e-03,9.801440834999084473e-01,1.371919363737106323e-02,4.455463204067200422e-04,1.974046928808093071e-03,5.716071245842613280e-05
1.004932727664709091e-02,9.630844593048095703e-01,1.446560118347406387e-02,7.371031679213047028e-04,1.142890192568302155e-02,2.347171393921598792e-04
2.231201902031898499e-02,8.992825150489807129e-01,3.448368981480598450e-02,1.202569226734340191e-03,4.216269031167030334e-02,5.564934108406305313e-04
3.553020209074020386e-02,8.560197353363037109e-01,5.539444088935852051e-02,1.567456289194524288e-03,5.067808553576469421e-02,8.101064595393836498e-04
4.362834244966506958e-02,8.038205504417419434e-01,5.333006009459495544e-02,1.519213896244764328e-03,9.645710140466690063e-02,1.244697836227715015e-03
4.691110178828239441e-02,8.085181713104248047e-01,4.418025538325309753e-02,1.645788783207535744e-03,9.723934531211853027e-02,1.505354419350624084e-03
3.216208890080451965e-02,8.712249994277954102e-01,4.572322964668273926e-02,1.628622761927545071e-03,4.839864000678062439e-02,8.625694317743182182e-04
3.082699701189994812e-02,8.906230330467224121e-01,3.679320588707923889e-02,2.017051680013537407e-03,3.849542140960693359e-02,1.244278741069138050e-03
2.266808971762657166e-02,9.135025739669799805e-01,2.219369821250438690e-02,1.175120822153985500e-03,3.964351117610931396e-02,8.169671637006103992e-04
2.393438294529914856e-02,9.111109972000122070e-01,2.899556979537010193e-02,1.237691147252917290e-03,3.395664691925048828e-02,7.648532628081738949e-04
3.963113948702812195e-02,8.622562885284423828e-01,4.132074117660522461e-02,2.564839785918593407e-03,5.209307745099067688e-02,2.134019276127219200e-03
7.094374299049377441e-02,7.121130824089050293e-01,8.488107472658157349e-02,2.918294863775372505e-03,1.255224645137786865e-01,3.621367504820227623e-03
1.417413949966430664e-01,3.801429867744445801e-01,1.542444378137588501e-01,6.560449488461017609e-03,3.016287088394165039e-01,1.568197458982467651e-02
1.833083629608154297e-01,1.753944605588912964e-01,3.081210851669311523e-01,7.030787877738475800e-03,3.083830773830413818e-01,1.776226609945297241e-02
2.766250967979431152e-01,3.201719000935554504e-02,2.043021917343139648e-01,4.343423526734113693e-03,4.372804164886474609e-01,4.543175920844078064e-02
